"Npop2","Npop3","Npop4","Npop5","Npop6","Npop7","Npop8","Npop9","Npop10"
0.0669,0.0639,0.1387,0.107,0.1124,0.0959,0.0944,0.0942,0.087
0.0677,0.0354,0.0425,0.1219,0.0413,0.0522,0.0965,0.0915,0.087
0.0669,0.0325,0.1079,0.0336,0.0349,0.0468,0.1019,0.0895,0.087
0.1481,0.0156,0.1349,0.0373,0.0569,0.0959,0.0975,0.0872,0.087
0.0774,0.0858,0.033,0.0921,0.1171,0.1137,0.0901,0.0868,0.087
0.077,0.0397,0.0911,0.0518,0.0612,0.0825,0.1013,0.0932,0.087
0.0575,0.1567,0.1618,0.121,0.0948,0.0442,0.1034,0.0872,0.087
0.0525,0.0526,0.0544,0.1288,0.0567,0.0886,0.0906,0.0868,0.087
0.0856,0.1826,0.0698,0.1193,0.0517,0.0916,0.0901,0.0519,0.087
0.1591,0.1312,0.0659,0.1089,0.1302,0.0966,0.0905,0.0872,0.087
0.1445,0.0519,0.0408,0.1089,0.0517,0.1101,0.1013,0.0932,0.087
0.0212,0.0745,0.1021,0.0381,0.1181,0.1028,0.0911,0.082,0.087
0.0447,0.0615,0.0937,0.0985,0.1052,0.102,0.0561,0.0519,0.087
0.0669,0.0438,0.0453,0.1116,0.0466,0.0503,0.0547,0.0915,0.087
0.1445,0.0629,0.0671,0.0573,0.041,0.1137,0.0906,0.0895,0.087
0.077,0.0722,0.0489,0.0597,0.1021,0.1161,0.0997,0.082,0.087
0.0447,0.1033,0.0634,0.1136,0.0539,0.1101,0.1053,0.0868,0.087
0.0361,0.0438,0.1506,0.0402,0.1086,0.1161,0.0561,0.0895,0.087
0.1048,0.0377,0.0676,0.0632,0.0583,0.0884,0.0474,0.0915,0.087
0.0774,0.0286,0.033,0.1103,0.1037,0.0519,0.0504,0.0872,0.087
0.0862,0.1567,0.1485,0.1193,0.0528,0.0557,0.0808,0.0915,0.087
0.1048,0.1527,0.1349,0.1226,0.1154,0.047,0.0547,0.0932,0.087
0.0523,0.0632,0.0709,0.0509,0.0482,0.1064,0.0804,0.0958,0.087
0.0274,0.1564,0.0312,0.0638,0.1011,0.0825,0.0547,0.082,0.087
0.0274,0.0456,0.1021,0.1219,0.1232,0.0997,0.0547,0.0952,0.087
0.0245,0.0237,0.1653,0.0921,0.0577,0.0468,0.0895,0.0872,0.087
0.1591,0.0363,0.1073,0.0673,0.0941,0.0935,0.0901,0.082,0.087
0.0856,0.0336,0.0795,0.0898,0.1016,0.0997,0.0474,0.0872,0.087
0.0047,0.1722,0.0515,0.0427,0.101,0.0953,0.097,0.082,0.087
0.0447,0.0444,0.1095,0.0661,0.0952,0.1151,0.0906,0.0942,0.087
0.0495,0.1715,0.0527,0.1114,0.0603,0.1057,0.086,0.0868,0.087
0.0903,0.1422,0.1472,0.1377,0.0517,0.1003,0.0911,0.0872,0.087
0.068,0.1085,0.1574,0.0634,0.0455,0.0959,0.0906,0.0868,0.087
0.0571,0.0619,0.0613,0.118,0.1084,0.1098,0.1042,0.082,0.087
0.0654,0.0444,0.0926,0.0964,0.1016,0.0601,0.0906,0.0915,0.087
0.1481,0.0713,0.0671,0.111,0.126,0.1033,0.094,0.0958,0.087
0.0072,0.1144,0.0698,0.1024,0.0946,0.1115,0.0946,0.0952,0.087
0.0072,0.0517,0.0634,0.0855,0.0528,0.1151,0.1062,0.0958,0.087
0.243,0.0325,0.0373,0.0336,0.0449,0.1079,0.0828,0.082,0.087
0.025,0.0411,0.0573,0.0572,0.1042,0.0884,0.0961,0.0915,0.087
0.0523,0.0232,0.1275,0.1248,0.0951,0.0562,0.086,0.0932,0.087
0.2149,0.0119,0.1291,0.1232,0.045,0.1064,0.0895,0.0519,0.087
0.0447,0.0363,0.0527,0.0518,0.0577,0.0605,0.0905,0.0942,0.087
0.1093,0.0439,0.0669,0.1305,0.1092,0.0998,0.0504,0.0915,0.087
0.1629,0.1457,0.0401,0.1076,0.0545,0.1028,0.0911,0.0872,0.087
0.1445,0.0232,0.1179,0.0511,0.0567,0.0468,0.0564,0.0519,0.087
0.2671,0.0719,0.0555,0.1377,0.0995,0.093,0.0442,0.0958,0.087
0.2149,0.1986,0.1125,0.0373,0.0407,0.0562,0.1013,0.0958,0.087
0.0654,0.1762,0.071,0.1078,0.1153,0.0555,0.0961,0.0915,0.087
0.2671,0.0432,0.12,0.0364,0.0946,0.0562,0.097,0.0915,0.087
0.1107,0.105,0.053,0.0601,0.103,0.0959,0.0504,0.0895,0.087
0.0274,0.1738,0.0602,0.1103,0.0912,0.049,0.0564,0.0932,0.087
0.1481,0.0363,0.1234,0.1259,0.0567,0.1057,0.097,0.0868,0.087
0.0245,0.0339,0.0293,0.026,0.1166,0.0989,0.0997,0.0868,0.087
0.0571,0.1826,0.0604,0.1207,0.0533,0.0965,0.0504,0.0519,0.087
