"Npop2","Npop3","Npop4","Npop5","Npop6","Npop7","Npop8","Npop9","Npop10"
-0.3346,-0.1591,-0.2104,-0.2999,-0.2451,-0.2551,-0.2617,-0.2705,-0.275
-0.331,-0.3703,-0.2503,-0.2648,-0.3052,-0.2875,-0.285,-0.2701,-0.275
-0.2422,-0.2873,-0.2498,-0.2973,-0.3139,-0.3072,-0.2641,-0.2634,-0.275
-0.1949,-0.282,-0.2774,-0.2875,-0.2416,-0.272,-0.2565,-0.2829,-0.275
-0.2962,-0.2621,-0.308,-0.2635,-0.347,-0.2628,-0.2586,-0.2634,-0.275
-0.4005,-0.2431,-0.262,-0.2736,-0.2357,-0.3063,-0.2511,-0.2651,-0.275
-0.3615,-0.3004,-0.3033,-0.3353,-0.3356,-0.2727,-0.279,-0.2651,-0.275
-0.1724,-0.2642,-0.3431,-0.2766,-0.2469,-0.2421,-0.2841,-0.2829,-0.275
-0.3562,-0.3221,-0.2935,-0.29,-0.2934,-0.313,-0.293,-0.2705,-0.275
-0.2418,-0.3777,-0.2492,-0.2632,-0.2324,-0.263,-0.2514,-0.2829,-0.275
-0.2418,-0.3303,-0.2104,-0.2626,-0.3116,-0.2658,-0.2704,-0.2701,-0.275
-0.3657,-0.3303,-0.2774,-0.3119,-0.247,-0.2804,-0.2857,-0.2634,-0.275
-0.2138,-0.2148,-0.29,-0.2755,-0.2656,-0.2816,-0.279,-0.2956,-0.275
-0.2418,-0.232,-0.292,-0.2525,-0.2283,-0.2813,-0.2563,-0.2829,-0.275
-0.4141,-0.2599,-0.2811,-0.2358,-0.2808,-0.3078,-0.2561,-0.271,-0.275
-0.3615,-0.2019,-0.2928,-0.2763,-0.3149,-0.2788,-0.2588,-0.263,-0.275
-0.2306,-0.3263,-0.3541,-0.3222,-0.2491,-0.2785,-0.2563,-0.2651,-0.275
-0.3286,-0.3262,-0.2248,-0.3245,-0.2262,-0.28,-0.2588,-0.2651,-0.275
-0.1724,-0.2156,-0.2524,-0.3121,-0.2812,-0.3258,-0.2573,-0.263,-0.275
-0.3286,-0.2638,-0.2277,-0.2731,-0.2644,-0.3315,-0.2573,-0.2705,-0.275
-0.3653,-0.3004,-0.2929,-0.2655,-0.245,-0.252,-0.285,-0.263,-0.275
-0.2962,-0.2246,-0.2633,-0.2423,-0.312,-0.258,-0.279,-0.2651,-0.275
-0.1945,-0.3777,-0.3249,-0.275,-0.2835,-0.2963,-0.2721,-0.271,-0.275
-0.3615,-0.3385,-0.3096,-0.3358,-0.2433,-0.2899,-0.2514,-0.2634,-0.275
-0.3615,-0.3004,-0.2891,-0.3374,-0.2666,-0.2968,-0.2924,-0.2634,-0.275
-0.2152,-0.2467,-0.2673,-0.2634,-0.2934,-0.2892,-0.2653,-0.2634,-0.275
-0.3562,-0.3262,-0.2529,-0.2335,-0.3356,-0.2543,-0.299,-0.296,-0.275
-0.3615,-0.2621,-0.2471,-0.2887,-0.2944,-0.2798,-0.2841,-0.2634,-0.275
-0.2159,-0.232,-0.275,-0.3198,-0.2323,-0.2421,-0.2985,-0.271,-0.275
-0.1949,-0.232,-0.235,-0.2893,-0.2647,-0.3258,-0.2573,-0.271,-0.275
-0.2071,-0.3646,-0.2679,-0.2548,-0.282,-0.2642,-0.2985,-0.2705,-0.275
-0.1726,-0.282,-0.222,-0.276,-0.2916,-0.2794,-0.2598,-0.263,-0.275
-0.2592,-0.3265,-0.3365,-0.286,-0.32,-0.2971,-0.2924,-0.296,-0.275
-0.3512,-0.265,-0.2935,-0.2513,-0.3349,-0.2971,-0.2846,-0.2651,-0.275
-0.3545,-0.263,-0.3655,-0.2503,-0.2916,-0.2539,-0.2928,-0.2701,-0.275
-0.3286,-0.2507,-0.2944,-0.2635,-0.3217,-0.2716,-0.2698,-0.271,-0.275
-0.4141,-0.3262,-0.3068,-0.2311,-0.245,-0.2542,-0.2697,-0.2705,-0.275
-0.1949,-0.302,-0.2636,-0.2767,-0.2751,-0.2392,-0.2653,-0.2956,-0.275
-0.2889,-0.2662,-0.3027,-0.3245,-0.3127,-0.2421,-0.2721,-0.2701,-0.275
-0.3653,-0.3529,-0.2673,-0.2854,-0.3132,-0.2879,-0.293,-0.2829,-0.275
-0.2418,-0.2841,-0.3572,-0.3635,-0.2825,-0.3436,-0.2787,-0.2651,-0.275
-0.3286,-0.2992,-0.2004,-0.322,-0.2722,-0.3072,-0.2701,-0.2651,-0.275
-0.3214,-0.2662,-0.2741,-0.2543,-0.2718,-0.289,-0.2598,-0.2705,-0.275
-0.2592,-0.302,-0.2115,-0.2563,-0.3135,-0.2551,-0.2697,-0.2701,-0.275
-0.2962,-0.267,-0.2107,-0.277,-0.2453,-0.3068,-0.299,-0.2651,-0.275
-0.2306,-0.232,-0.1832,-0.339,-0.2847,-0.2543,-0.2617,-0.2705,-0.275
-0.1724,-0.3262,-0.2749,-0.2881,-0.2357,-0.2423,-0.2488,-0.2634,-0.275
-0.2889,-0.2246,-0.267,-0.2363,-0.2919,-0.2492,-0.2586,-0.2701,-0.275
