"Npop2","Npop3","Npop4","Npop5","Npop6","Npop7","Npop8","Npop9","Npop10","Npop11","Npop12"
-0.0138,-0.0316,0.0023,-0.0202,-0.0176,-0.0024,-0.0096,-0.0108,-0.0074,-0.0022,-0.001
-0.0566,0.0157,-0.0016,-0.0151,0.0013,0.0148,-0.008,0.0043,0.0038,-0.0057,-0.001
0.0296,-0.0196,0.0212,-0.0202,0.0144,0.0086,0.0014,-0.0095,0.0037,0,-0.001
0.0299,-0.0199,0.0246,-0.0034,0.018,-0.0039,6e-04,0.0013,0.0081,0,-0.001
0.0296,0.0139,0.0199,-0.0118,-0.008,9e-04,0.0115,-0.0024,0.0038,-0.0057,-0.001
-0.0544,0.0267,0.0044,0.01,0.0062,-0.0072,0.0059,-0.0046,-0.0097,-0.0022,-0.001
0.0193,-0.0443,0.0204,-0.0089,-4e-04,-0.0085,-0.0078,0.0105,-0.0109,3e-04,-0.001
-0.0066,0.0014,0.0117,-0.0127,-0.003,0.0057,0.0182,0.0119,-0.0012,0.0013,-0.001
0.0102,-0.0166,0.0074,-0.0033,-0.0111,0.0015,-0.0045,-1e-04,-0.0012,0.0013,-0.001
-0.0031,0.0078,-0.0215,-0.0163,-0.0162,0.0096,2e-04,0.0017,-0.0024,0.0013,-0.001
-0.0507,0.0318,0.0081,-0.0055,-0.0069,0.0095,-4e-04,-0.0083,-0.0072,-0.0057,-0.001
-0.0486,0.0148,-0.0102,-0.0021,-0.0273,-0.0034,0.0075,0.0123,-0.004,-1e-04,-0.001
0.0313,0.0154,-0.0066,0.0328,-5e-04,0.0091,-0.0061,0.0144,-1e-04,-0.008,-0.001
-0.0193,0.0101,0.0236,-0.003,1e-04,0.0114,0.0103,-0.0014,-0.0061,3e-04,-0.001
-0.0088,-0.0203,0.0112,-0.0027,0.0011,-0.0051,0.0041,-0.006,-0.0032,9e-04,-0.001
-0.0189,-0.0415,-0.0181,-0.0034,0.0019,-0.0114,-0.0018,-0.0031,-0.0072,-0.0057,-0.001
0.0313,0.0042,-0.0026,-0.0042,-0.0209,0.0022,0.0128,0.0028,0.0027,0.0062,-0.001
-0.0544,-0.0213,0.0058,0.0241,-0.002,-0.0017,0.0036,-0.0037,-0.0033,-0.0057,-0.001
-0.0117,0.0148,0.0117,-0.0344,-3e-04,-3e-04,-0.0047,0.0094,0.0011,0.0062,-0.001
-0.0172,-0.0089,0.0081,0.0103,-0.0096,-0.0212,-0.0104,-0.0097,-0.0071,-0.0054,-0.001
0.0286,-0.0199,0.0089,-0.0147,-0.0129,-0.0206,-5e-04,-2e-04,0.0019,-0.002,-0.001
-0.0129,-0.0061,-0.0211,0.0256,-0.0016,0.0044,7e-04,-0.0071,-0.001,-0.0054,-0.001
-0.0014,0.0157,0.0143,-0.0164,-0.0078,0.0086,-0.0044,-5e-04,3e-04,0.0062,-0.001
0.0602,-0.018,0.0055,-0.0095,0.0032,-0.0064,-0.006,-0.0041,0.0022,-0.0054,-0.001
0.0133,0.0126,-0.0058,0.0065,0.0056,-0.0053,-0.0157,-0.0108,0.0095,0.0021,-0.001
0.0174,0.035,-0.008,0.0127,0.0143,-0.0036,-0.0136,-0.0141,0.0019,0.0062,-0.001
0.0072,0.0368,0.0126,0.0167,-0.0228,0.0074,-0.0194,-0.0078,-0.0053,-1e-04,-0.001
0.0072,0.0327,-0.0142,0.0094,0.0055,0.0061,-0.0094,-0.0071,0.0013,3e-04,-0.001
-0.0189,0.0079,0.0206,0.0026,-0.0167,-0.0058,0.0034,-0.0062,-0.0051,-0.008,-0.001
-0.0544,-0.0134,0.0029,0.0022,0.0025,7e-04,0.0037,-0.0093,-6e-04,0,-0.001
0.0111,0.0052,-0.0259,-0.0297,-0.0076,0.0192,0.0172,0.0016,-0.004,0.0021,-0.001
-0.016,0.0148,0,-0.0101,0.01,0.0083,-0.0018,-0.0045,-0.0012,-0.0022,-0.001
-0.0055,0.0161,0.0236,-0.0211,0.0113,-0.007,-0.0078,-0.0029,-0.001,9e-04,-0.001
0.0296,-0.0346,-0.0088,-0.0105,0.0158,-0.0037,0.0075,0.0114,-0.0044,-0.0057,-0.001
